user_id,movie_id,rating,rating_date
1,61,8.0,2000-07-30
1,141,8.0,2000-07-30
1,12,10.0,2000-07-30
1,49,10.0,2000-07-30
1,64,8.0,2000-07-30
1,398,10.0,2000-07-30
1,25,10.0,2000-07-30
1,7,6.0,2000-07-30
1,6,8.0,2000-07-30
1,372,8.0,2000-07-30
1,60,8.0,2000-07-30
1,24,10.0,2000-07-30
1,412,8.0,2000-07-30
1,19,8.0,2000-07-30
1,145,10.0,2000-07-30
1,313,6.0,2000-07-30
1,494,8.0,2000-07-30
1,224,6.0,2000-07-30
1,409,10.0,2000-07-30
1,62,10.0,2000-07-30
1,366,8.0,2000-07-30
1,368,10.0,2000-07-30
1,253,10.0,2000-07-30
1,29,10.0,2000-07-30
1,353,10.0,2000-07-30
1,68,10.0,2000-07-30
1,97,10.0,2000-07-30
1,156,8.0,2000-07-30
1,55,10.0,2000-07-30
1,35,10.0,2000-07-30
1,71,8.0,2000-07-30
1,126,10.0,2000-07-30
1,81,10.0,2000-07-30
1,52,6.0,2000-07-30
1,177,8.0,2000-07-30
1,32,10.0,2000-07-30
1,123,10.0,2000-07-30
1,420,10.0,2000-07-30
1,217,6.0,2000-07-30
1,219,10.0,2000-07-30
1,371,10.0,2000-07-30
1,105,10.0,2000-07-30
1,203,10.0,2000-07-30
1,309,8.0,2000-07-30
1,22,8.0,2000-07-30
1,270,10.0,2000-07-30
1,433,8.0,2000-07-30
1,275,10.0,2000-07-30
1,45,10.0,2000-07-30
1,222,10.0,2000-07-30
1,8,10.0,2000-07-30
1,331,4.0,2000-07-30
1,102,8.0,2000-07-30
1,350,10.0,2000-07-30
1,44,10.0,2000-07-30
1,490,8.0,2000-07-30
1,4,10.0,2000-07-30
1,26,10.0,2000-07-30
1,333,8.0,2000-07-30
1,16,10.0,2000-07-30
1,200,10.0,2000-07-30
2,1,6.0,2015-10-24
2,54,9.0,2015-10-24
2,16,8.0,2015-10-24
2,42,8.0,2015-10-24
2,379,7.0,2015-10-24
2,28,8.0,2015-10-24
2,2,9.0,2015-10-24
2,18,9.0,2015-10-24
2,214,6.0,2015-10-24
2,21,8.0,2015-10-24
2,3,8.0,2015-10-24
2,393,9.0,2015-10-24
2,301,10.0,2015-10-24
2,13,7.0,2015-10-24
2,303,5.0,2015-10-24
2,15,7.0,2015-10-24
2,17,10.0,2015-10-24
2,5,6.0,2015-10-24
2,66,8.0,2015-10-24
2,227,7.0,2015-10-24
2,57,10.0,2015-10-24
3,24,1.0,2011-05-27
3,480,1.0,2011-05-27
3,305,8.0,2011-05-27
3,84,1.0,2011-05-27
3,428,1.0,2011-05-27
4,207,4.0,1999-12-14
4,12,4.0,1999-12-14
4,496,10.0,1999-12-13
4,25,10.0,1999-12-13
4,7,2.0,1999-12-14
4,334,8.0,1999-12-13
4,19,10.0,2000-07-25
4,326,6.0,2001-04-09
4,145,10.0,2000-07-25
4,313,6.0,1999-12-13
4,409,10.0,2001-04-10
4,253,10.0,2001-04-10
4,29,10.0,2000-07-25
4,353,10.0,2000-07-25
4,68,6.0,2000-07-25
4,35,8.0,1999-12-13
4,376,8.0,2000-07-25
4,349,8.0,2000-07-25
4,177,8.0,2000-07-26
4,374,8.0,2001-04-09
4,123,8.0,2000-07-25
4,217,6.0,2001-04-10
4,219,4.0,1999-12-13
4,54,2.0,1999-12-19
4,105,8.0,1999-12-13
4,367,8.0,2001-04-10
4,433,10.0,2000-07-25
4,137,2.0,2000-07-26
4,8,2.0,1999-12-14
4,102,2.0,2001-04-09
4,416,4.0,1999-12-13
4,67,8.0,2000-07-25
4,44,10.0,2000-07-25
4,4,4.0,1999-12-13
4,33,4.0,2001-12-05
4,93,8.0,2001-12-05
5,61,8.0,1996-11-08
5,49,8.0,1996-11-08
5,64,8.0,1996-11-08
5,500,6.0,1996-11-08
5,7,10.0,1996-11-08
5,1,6.0,1996-11-08
5,46,6.0,1996-11-08
5,372,8.0,1996-11-08
5,24,10.0,1996-11-08
5,334,8.0,1996-11-08
5,43,6.0,1996-11-08
5,412,6.0,1996-11-08
5,326,10.0,1996-11-08
5,458,6.0,1996-11-08
5,145,6.0,1996-11-08
6,442,8.0,1996-10-17
6,141,8.0,1996-10-17
6,240,8.0,1996-10-17
6,207,8.0,1996-10-17
6,12,8.0,1996-10-17
6,49,2.0,1996-10-17
6,64,10.0,1996-10-17
6,415,6.0,1996-10-17
6,398,6.0,1996-10-17
6,500,6.0,1996-10-17
6,39,6.0,1996-10-17
6,7,4.0,1996-10-17
6,1,10.0,1996-10-17
6,6,10.0,1996-10-17
6,46,10.0,1996-10-17
6,372,8.0,1996-10-17
6,427,10.0,1996-10-17
6,60,10.0,1996-10-17
6,24,6.0,1996-10-17
6,334,10.0,1996-10-17
6,43,6.0,1996-10-17
6,412,6.0,1996-10-17
6,19,8.0,1996-10-17
6,326,10.0,1996-10-17
6,458,8.0,1996-10-17
6,145,6.0,1996-10-17
6,224,10.0,1996-10-17
7,61,9.0,2005-01-25
7,49,9.0,2005-01-25
7,415,8.0,2005-01-25
7,25,10.0,2005-01-25
7,6,10.0,2005-01-25
7,60,10.0,2005-01-25
7,334,6.0,2005-01-25
7,43,5.0,2005-01-25
7,412,6.0,2005-01-25
7,19,10.0,2005-01-25
7,326,7.0,2005-01-26
7,313,8.0,2005-01-25
7,224,9.0,2005-01-25
7,285,8.0,2005-01-25
7,29,8.0,2005-01-25
7,156,8.0,2005-01-25
7,55,8.0,2005-01-25
7,81,10.0,2005-01-26
7,221,3.0,2005-01-25
7,32,10.0,2005-01-25
7,219,6.0,2005-01-30
7,36,6.0,2005-01-25
7,360,8.0,2005-01-25
7,203,9.0,2005-01-25
7,137,4.0,2005-01-26
7,102,3.0,2005-01-26
7,485,9.0,2005-04-15
7,67,9.0,2005-01-25
7,44,8.0,2005-01-26
7,212,9.0,2005-01-25
7,16,3.0,2005-01-25
7,440,2.0,2005-01-26
7,200,7.0,2005-01-25
7,377,6.0,2006-10-25
7,138,8.0,2005-01-25
7,70,8.0,2005-01-25
7,93,8.0,2005-01-25
7,208,8.0,2005-01-25
7,10,9.0,2005-01-25
7,72,9.0,2005-01-25
7,276,7.0,2005-01-26
7,88,7.0,2005-01-25
7,134,1.0,2005-01-25
7,235,8.0,2005-01-25
7,413,6.0,2005-01-26
7,439,3.0,2005-01-25
7,90,10.0,2005-01-26
7,159,9.0,2005-01-25
7,14,9.0,2005-01-25
7,50,8.0,2005-01-25
7,247,8.0,2005-01-25
7,211,8.0,2005-01-26
7,40,9.0,2005-01-25
7,264,4.0,2005-01-26
7,327,9.0,2005-01-25
7,11,8.0,2005-01-25
7,431,8.0,2005-02-03
7,283,7.0,2005-01-25
7,158,5.0,2005-01-25
7,147,9.0,2005-01-25
7,316,7.0,2005-02-17
7,379,9.0,2005-01-25
7,321,8.0,2005-01-25
7,111,8.0,2005-01-25
7,498,5.0,2005-03-23
7,406,8.0,2005-01-25
7,451,7.0,2005-04-13
7,133,7.0,2005-10-05
7,104,2.0,2005-07-11
7,20,4.0,2005-07-11
7,324,6.0,2005-07-11
7,266,8.0,2006-09-11
7,298,9.0,2006-08-31
7,28,2.0,2007-01-25
7,173,9.0,2006-12-11
8,442,8.0,1996-08-08
8,207,6.0,1996-08-08
8,12,8.0,1996-08-08
8,49,10.0,1996-08-08
8,64,6.0,1996-08-08
8,398,8.0,1996-08-08
8,500,10.0,1996-08-08
8,7,8.0,1996-08-08
8,1,10.0,1996-08-08
8,6,6.0,1996-08-08
8,46,10.0,1996-08-08
8,372,6.0,1996-08-08
8,427,8.0,1996-08-08
8,60,8.0,1996-08-08
8,24,10.0,1996-08-08
8,174,6.0,1996-08-08
8,412,6.0,1996-08-08
8,19,8.0,1996-08-08
8,458,6.0,1996-08-08
9,68,10.0,2003-02-07
9,32,10.0,2003-02-07
9,236,6.0,2003-02-07
9,309,8.0,2003-02-07
9,389,6.0,2003-02-07
9,10,10.0,2003-02-07
9,276,8.0,2003-02-07
9,134,6.0,2003-02-07
9,235,8.0,2003-02-07
9,14,10.0,2003-02-07
9,325,8.0,2003-02-07
10,7,2.0,2016-02-12
10,6,7.0,2016-02-12
10,334,8.0,2016-02-12
10,458,7.0,2016-02-13
10,8,1.0,2016-02-13
10,485,7.0,2016-02-13
10,67,1.0,2016-02-13
10,44,2.0,2016-02-13
10,4,1.0,2016-02-13
10,16,8.0,2016-02-13
10,138,9.0,2016-02-13
10,10,8.0,2016-02-13
10,72,8.0,2016-02-12
10,14,8.0,2016-02-13
10,56,7.0,2016-02-12
10,260,8.0,2016-02-12
10,11,8.0,2016-02-13
10,438,7.0,2016-02-13
10,352,7.0,2016-02-13
10,244,10.0,2016-02-13
10,297,7.0,2016-02-13
10,202,10.0,2016-02-12
10,147,7.0,2016-02-13
10,316,7.0,2016-02-13
10,111,5.0,2016-02-12
10,474,7.0,2016-02-13
10,255,6.0,2016-02-13
